New_Index,name,rental_way,size,toward,price,place
1,楚天家园,整租,2室1厅,南,2000,开元路
2,四季美景,合租,5居室,跃层,758,四方坪
3,金侨风华府,整租,3室2厅,南,2500,麓谷西
4,珠江郦城薰衣道,合租,5居室,南卧,818,福元西路
5,荷花园众立小区,整租,3室2厅,南,2300,马王堆
6,世方水岸,合租,5居室,南卧,908,四方坪
7,嘉盛华庭,整租,2室2厅,南,2200,武广新城
8,白沙湾嘉园,合租,4居室,东南卧,1288,武广新城
9,麓谷小镇,整租,3室1厅,南/北,2600,麓谷西
10,上河国际A区,合租,4居室,东南卧,1000,高桥
11,招商华发依云曦城,整租,3室1厅,南,2600,岳麓其他
12,华府一航线,合租,4居室,南卧,738,烈士公园
13,藏珑湖上国际花园,整租,1室1厅,东,1500,广电
14,华联花园,合租,5居室,南卧,738,晚报
15,明大佳园,整租,1室0厅,北,1700,武广新城
16,保利天禧Mall,整租,1室1厅,西,1700,银盆岭
17,星典时代,整租,1室1厅,北,1700,晚报
18,世纪城咏江苑,合租,5居室,南卧,999,湘江世纪城
19,苹果社区,整租,3室1厅,南,2100,汽车东站
20,智达佳园,整租,3室2厅,南/北,2100,岳麓其他
21,湘江豪庭,整租,4室2厅,复式,8000,开福区政府
22,世纪城映江苑,合租,5居室,南卧,898,湘江世纪城
23,恒大雅苑,整租,3室2厅,南/北,2500,广电
24,天翼花园,合租,5居室,南卧,958,高桥
25,上城星座,整租,1室1厅,东/东南,2680,窑岭
26,名都花园,合租,4居室,南卧,950,赤岗冲
27,碧桂园翘楚棠,整租,3室2厅,南,2100,万家丽北
28,路桥大厦,合租,5居室,南卧,940,韶山南路
29,双湾国际,整租,3室1厅,南/北,2400,金霞
30,顺天黄金海岸,合租,5居室,南卧,750,开福区政府
31,苹果社区,整租,3室2厅,南/北,1800,汽车东站
32,顺天黄金海岸,合租,5居室,南卧,750,开福区政府
33,中南汽车世界,整租,3室2厅,南,1500,中南汽车世界
34,银园公寓,合租,4居室,南卧,1050,火车站
35,苹果社区,整租,3室1厅,南/北,1800,汽车东站
36,盛德碧瑞庭,合租,5居室,南卧,700,铁道学院
37,五矿万境水岸一期,整租,3室1厅,南,2300,喜盈门
38,新桥小区,合租,4居室,南卧,900,马王堆
39,马王堆陶瓷建材新城,整租,3室1厅,南,1800,马王堆
40,百纳公寓,合租,4居室,南卧,950,马王堆
41,橄榄城,整租,3室2厅,北,2100,泉塘
42,福乐凯公寓,合租,5居室,北卧,950,烈士公园
43,天麓尚层,整租,3室2厅,南,2600,雷锋大道
44,慧丰楼,合租,4居室,南卧,980,浏城桥
45,碧桂园星荟,整租,1室1厅,南,1500,星沙其他
